timestamp,open,high,low,close,adjusted_close,volume,dividend amount,
28-01-2022,300.2,304.1,299.05,303.4,303.4,27670280,0,1
27-01-2022,295.05,302.25,294.25,300,300,17713754,0,1
26-01-2022,291.35,295.8,290.4,295.8,295.8,19857084,0,1
25-01-2022,289.6,292.734,286.55,291.45,291.45,19025329,0,1
24-01-2022,287.75,291.462,287,288.2,288.2,36356190,0,1
21-01-2022,285.9,288.75,285.15,288.75,288.75,16457165,0,1
20-01-2022,289,289.1,286.475,287.3,287.3,15573050,0,1
19-01-2022,289.5,291.25,286.45,287.85,287.85,16181221,0,1
18-01-2022,288.5,291.1,287.5,289.55,289.55,28944074,0,1
17-01-2022,286.8,290.9,286.25,289.45,289.45,15723634,0,1
14-01-2022,290.85,290.85,284.05,285,285,20472873,0,1
13-01-2022,285,289.7,283.4,289.7,289.7,25955230,0,1
12-01-2022,293.5,295.903,289.25,292.25,292.25,23408905,0,1
11-01-2022,294,295.7,292.3,292.3,292.3,31665127,0,1
10-01-2022,288.9,293.7,288.15,292.45,292.45,12200469,0,1
07-01-2022,292,292.094,288.9,289.05,289.05,17895696,0,1
06-01-2022,293.4,297.304,291.95,292.3,292.3,18098387,0,1
05-01-2022,293.15,297.4,292.4,296.7,296.7,15115370,0,1
04-01-2022,292.55,294.15,291.05,293.95,293.95,15645024,0,1
31-12-2021,290.8,290.95,288.8,289.9,289.9,4579428,0,1
30-12-2021,290.75,293.15,290.45,291.25,291.25,5589404,0,1
29-12-2021,288.8,292.35,287.95,291.05,291.05,9098820,0,1
24-12-2021,286.8,288.25,286.506,287.9,287.9,2246590,0,1
23-12-2021,287.55,288.55,286.4,288.35,288.35,5287992,0,1
22-12-2021,288,288.294,285.3,287.55,287.55,22026120,0,1
21-12-2021,288.25,289.65,287,288.5,288.5,22344767,0,1
20-12-2021,282.2,287.7,281.3,287.6,287.6,13973344,0,1
17-12-2021,281.4,286.35,281.2,284.4,284.4,24768645,0,1
16-12-2021,284,284.2,281.3,282.4,282.4,23098284,0,1
15-12-2021,285.7,286.8,282.2,282.2,282.2,35826679,0,1
14-12-2021,286,287.3,283.972,284.75,284.75,18688348,0,1
13-12-2021,284.15,286.25,283.3,285.35,285.35,15169006,0,1
10-12-2021,282.7,285.25,282.5,284.4,284.4,8795690,0,1
09-12-2021,283.8,284.996,282.6,283,283,22018185,0,1
08-12-2021,283.95,286.5,282.4,282.75,282.75,24507100,0,1
